Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Tilt  [deg];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;2200,16622411874;792,158119511067;-465,67641826128;0,0295218785728239;0,00991533166498001;0,0273200162653373;0,00518114115844251;18,0826289398099;TMC 30-M #5836 - Face 3;21,861536026001;988,325988769531;31,5;'04.04.2024 11:15:15.120;;
2;2097,63297197326;989,710464917693;-507,738289384412;0,0134116158030464;0,00567611596821683;0,0118420536450027;0,00272376787424257;9,30876736182546;TMC 30-M #5836 - Face 3;21,7583866119385;988,325988769531;31,5;'04.04.2024 11:15:37.490;;
3;2007,65205677666;929,357618842041;-608,863482443232;0,0036472951655158;0,00170096854266141;0,00269921263742673;0,00176740464501684;19,9356006573301;TMC 30-M #5836 - Face 3;21,7583866119385;988,325988769531;31,5;'04.04.2024 11:15:50.230;;
4;2158,27481680908;732,017945439327;-615,837691626369;0,0144688505465981;0,00468414564860872;0,0132811203532502;0,00331937612284199;18,1479371562131;TMC 30-M #5836 - Face 3;21,9270839691162;988,325988769531;31,5;'04.04.2024 11:16:16.550;;
5;1914,22396533394;900,530688437305;-572,703470246896;0,00287669220010969;0,00142151949150126;0,00225644090083381;0,00107847800649724;15,5907493063932;TMC 30-M #5836 - Face 3;21,9270839691162;988,325988769531;31,5;'04.04.2024 11:16:34.590;;
6;2031,3114905445;753,178585322299;-461,153273997987;0,00404306138463215;0,00201260961732656;0,00283317756600407;0,0020661202210035;8,21515694778326;TMC 30-M #5836 - Face 3;21,9270839691162;988,325988769531;31,5;'04.04.2024 11:16:54.290;;
7;2048,66536117592;700,876412578958;-563,923400515568;0,00184550857747901;0,000876849679542483;0,00118383718760002;0,00111156019283263;37,2486077124899;TMC 30-M #5836 - Face 3;21,8236293792725;988,325988769531;31,5;'04.04.2024 11:17:12.360;;
8;1997,13161763616;745,123483900363;-407,637375943787;0,00218861746750432;0,00138107285481116;0,00149028948490697;0,000813462623569443;18,4915923708246;TMC 30-M #5836 - Face 3;21,8236293792725;988,325988769531;31,5;'04.04.2024 11:17:29.710;;
9;2167,33370955474;808,909736529814;-501,195949871114;0,00299298902000892;0,00200636857925285;0,00107265908037196;0,00194470329237558;18,700049543213;TMC 30-M #5836 - Face 3;21,8236293792725;988,325988769531;31,5;'04.04.2024 11:17:49.480;;
10;2113,94804196079;905,423752855054;-454,875677460615;0,0062724207850615;0,00270431394822082;0,00561454751032914;0,000711902260557346;15,8122520997422;TMC 30-M #5836 - Face 3;21,7199306488037;988,325988769531;31,5;'04.04.2024 11:18:07.390;;
11;1967,34742333071;868,739377668397;-419,740137646425;0,00478926712629169;0,00195438360513189;0,00422872489722625;0,00111146303337035;21,5023164388978;TMC 30-M #5836 - Face 3;21,7199306488037;988,325988769531;31,5;'04.04.2024 11:18:25.830;;
12;2014,78398898974;707,293012318361;-545,725868847037;0,0139348610065072;0,00463685913335879;0,0129736322410618;0,0020891996366416;29,7512765530903;TMC 30-M #5836 - Face 3;21,94801902771;988,325988769531;31,5;'04.04.2024 11:18:58.000;;
13;1974,14134827751;818,568465014041;-612,706623468197;0,00480357364091059;0,00258349451156333;0,00389161327795307;0,00112036687171321;37,0271693514791;TMC 30-M #5836 - Face 3;21,8440761566162;988,325988769531;31,5;'04.04.2024 11:19:16.350;;
14;1950,7105511677;754,150044248426;-475,065391803867;0,00201227577501112;0,00143853161923891;0,000822970387591342;0,0011413151695716;14,4339227319742;TMC 30-M #5836 - Face 3;21,8440761566162;988,325988769531;31,5;'04.04.2024 11:19:37.180;;
15;2162,54095828861;829,426669846046;-397,19075975396;0,00745783459284297;0,00286195546504948;0,00677720382037179;0,00122393468265949;20,387767625636;TMC 30-M #5836 - Face 3;21,8440761566162;988,325988769531;31,5;'04.04.2024 11:19:59.900;;
16;2015,79319299988;795,359209971866;-573,643264455374;0,00398263510182499;0,00221811327383383;0,00314651210194636;0,00102020461233802;18,0724595511414;TMC 30-M #5836 - Face 3;21,7399501800537;988,325988769531;31,5;'04.04.2024 11:20:24.120;;
17;1986,53595215752;945,912604179226;-569,196579070368;0,00782026237324919;0,00373162979425257;0,00676349523395789;0,00121925177274116;21,9281791024422;TMC 30-M #5836 - Face 3;21,7399501800537;988,325988769531;31,5;'04.04.2024 11:20:40.050;;
18;2114,97853458135;814,164392496985;-516,599434863459;0,00207688427402913;0,00150314405210815;0,00100832821916186;0,00101846966020755;15,7747369808754;TMC 30-M #5836 - Face 3;21,7399501800537;988,325988769531;31,5;'04.04.2024 11:21:00.560;;
19;2003,59831926267;896,683014628231;-381,551258707936;0,00457481057403417;0,00221495361040159;0,003423500653962;0,00207425060308189;9,03449411085596;TMC 30-M #5836 - Face 3;21,6356410980225;988,325988769531;31,5;'04.04.2024 11:21:16.330;;
20;2010,07127377198;748,141333697953;-593,151206028415;0,0155453554001902;0,00550831880981355;0,0144950608285047;0,0010998681673846;11,2479851036631;TMC 30-M #5836 - Face 3;21,6356410980225;988,325988769531;31,5;'04.04.2024 11:21:51.830;;
21;1959,30739695486;713,748828272759;-539,078006998805;0,00293749099615838;0,00158650529959621;0,00180480856514739;0,00168953257738207;14,7506421678871;TMC 30-M #5836 - Face 3;21,8613986968994;988,325988769531;31,5;'04.04.2024 11:22:04.670;;
22;1974,03168562886;900,520801915111;-450,150478741418;0,00393028317015299;0,00167832115650291;0,00330643433762189;0,00130301798307525;8,37822227791016;TMC 30-M #5836 - Face 3;21,8613986968994;988,325988769531;31,5;'04.04.2024 11:22:30.510;;
23;1979,06025674038;915,380009945118;-529,875357769666;0,00270809643053827;0,00132230403928463;0,00206102903242845;0,00115648503331116;15,0745453553032;TMC 30-M #5836 - Face 3;21,7567844390869;988,325988769531;31,5;'04.04.2024 11:22:40.870;;
24;2034,22108926952;725,152205343321;-416,901542989853;0,0047036642802126;0,00214576669534258;0,00385581667044864;0,00162874821688219;29,5030825786879;TMC 30-M #5836 - Face 3;21,7567844390869;988,325988769531;31,5;'04.04.2024 11:22:59.390;;
25;1919,73214611495;862,409975495472;-472,470571162103;0,00382373880398367;0,00236047440688165;0,0026635276210265;0,00139812718576534;14,2639394779666;TMC 30-M #5836 - Face 3;21,7567844390869;988,325988769531;31,5;'04.04.2024 11:23:12.170;;
26;2106,05637211373;765,128895822403;-397,267686158375;0,00200336827396498;0,000865578829090352;0,00150586549895693;0,00099831199071793;14,9236975694004;TMC 30-M #5836 - Face 3;21,7567844390869;988,325988769531;31,5;'04.04.2024 11:23:28.590;;
27;2105,0315121201;734,700923671456;-427,126597208309;0,0297928972964681;0,0100011348334153;0,0275910630011798;0,00513101099459696;15,3519972708937;TMC 30-M #5836 - Face 3;21,6519870758057;988,325988769531;31,5;'04.04.2024 11:23:46.030;;
28;1976,0286705123;889,983041803068;-398,207571840723;0,0118463351965847;0,00499206085902663;0,0105315265332485;0,00212177634285498;21,9369152973112;TMC 30-M #5836 - Face 3;21,6519870758057;988,325988769531;31,5;'04.04.2024 11:24:04.040;;
29;2025,85333190288;958,075484727721;-587,700199778097;0,00208704343948467;0,000870327612511938;0,00116943327192572;0,00149355481576953;7,6483687101521;TMC 30-M #5836 - Face 3;21,6519870758057;988,325988769531;31,5;'04.04.2024 11:24:24.120;;
30;2030,76636770651;662,738658850021;-484,10722274491;0,0024079359975066;0,0013998082295587;0,00168088230799786;0,0010066416220322;30,2500029576327;TMC 30-M #5836 - Face 3;21,5469760894775;988,325988769531;31,5;'04.04.2024 11:24:44.150;;
